Glass,Glasses
Box,Boxes
Bush,Bushes
Watch,Watches
Switch,Switches
Woman,Women
Man,Men
Child,Children
Ox,Oxen
Foot,Feet
Tooth,Teeth
Goose,Geese
Mouse,Mice
Louse,Lice
Die,Dice
Potato,Potatoes
Tomato,Tomatoes
Hero,Heroes
Echo,Echoes
Volcano,Volcanoes
Veto,Vetoes
Torpedo,Torpedoes
Zoo,Zoos
Kangaroo,Kangaroos
Tattoo,Tattoos
Baby,Babies
Penny,Pennies
Spy,Spies
Poppy,Poppies
Life,Lives
Wolf,Wolves
Shelf,Shelves
Wife,Wives
Calf,Calves
Half,Halves
Dwarf,Dwarves
Knife,Knives
Thief,Thieves
Scarf,Scarves
Loaf,Loaves
Hoof,Hooves
Leaf,Leaves
Elf,Elves
Self,Selves
Cactus,Cacti
Fungus,Fungi
Octopus,Octopi
Focus,Foci
Stimulus,Stimuli
Alumnus,Alumni
Nucleus,Nuclei
Syllabus,Syllabi
Oasis,Oases
Crisis,Crises
Basis,Bases
Synopsis,Synopses
Synthesis,Syntheses
Parenthesis,Parentheses
Ellipsis,Ellipses
Thesis,Theses
Axis,Axes
Analysis,Analyses
Diagnosis,Diagnoses
Hypothesis,Hypotheses
Phenomenon,Phenomena
Criterion,Criteria
Bacterium,Bacteria
Medium,Media
Memorandum,Memoranda
Datum,Data
Curriculum,Curricula
Addendum,Addenda
Larva,Larvae
Antenna,Antennae
Formula,Formulae
Alga,Algae
Vertebra,Vertebrae
Sheep,Sheep
Deer,Deer
Fish,Fish
Moose,Moose
Trout,Trout
Cod,Cod
Offspring,Offspring
Series,Series
Species,Species
Shorts,Shorts
Scissors,Scissors
Pants,Pants
Jeans,Jeans
Tweezers,Tweezers
Binoculars,Binoculars
