Be,Was,Been
Have,Had,Had
Go,Went,Gone
Do,Did,Done
Run,Ran,Run
Come,Came,Come
Write,Wrote,Written
Ride,Rode,Ridden
Get,Got,Gotten
Hide,Hid,Hidden
Bite,Bit,Bitten
Tear,Tore,Torn
Wear,Wore,Worn
Swear,Swore,Sworn
Eat,Ate,Eaten
Give,Gave,Given
See,Saw,Seen
Take,Took,Taken
Fall,Fell,Fallen
Shake,Shook,Shaken
Choose,Chose,Chosen
Freeze,Froze,Frozen
Drive,Drove,Driven
Rise,Rose,Risen
Know,Knew,Known
Grow,Grew,Grown
Throw,Threw,Thrown
Fly,Flew,Flown
Blow,Blew,Blown
Draw,Drew,Drawn
Feed,Fed,Fed
Meet,Met,Met
Shoot,Shot,Shot
Lead,Led,Led
Slide,Slid,Slid
Plead,Pled,Pled
Bleed,Bled,Bled
Say,Said,Said
Pay,Paid,Paid
Lay,Laid,Laid
Lie,Lay,Lain
Slay,Slew,Slain
Sit,Sat,Sat
Sell,Sold,Sold
Hold,Held,Held
Stick,Stuck,Stuck
Dig,Dug,Dug
Spin,Spun,Spun
Shine,Shone,Shone
Win,Won,Won
Stand,Stood,Stood
Sing,Sang,Sung
Begin,Began,Begun
Swim,Swam,Swum
Ring,Rang,Rung
Spring,Sprang,Sprung
Shrink,Shrank,Shrunk
Sink,Sank,Sunk
Drink,Drank,Drunk
Feel,Felt,Felt
Keep,Kept,Kept
Sweep,Swept,Swept
Sleep,Slept,Slept
Lose,Lost,Lost
Built,Built,Built
Lend,Lent,Lent
Spend,Spent,Spent
Mean,Meant,Meant
Send,Sent,Sent
Bend,Bent,Bent
Kneel,Knelt,Knelt
Creep,Crept,Crept
Burn,Burnt,Burnt
Leap,Leapt,Leapt
Deal,Dealt,Dealt
Leave,Left,Left
Weep,Wept,Wept
Hear,Heard,Heard
Make,Made,Made
Tell,Told,Told
Sell,Sold,Sold
Teach,Taught,Taught
Catch,Caught,Caught
Bring,Brought,Brought
Buy,Bought,Bought
Fight,Fought,Fought
Think,Thought,Thought
Seek,Sought,Sought
Find,Found,Found
Bind,Bound,Bound
Grind,Ground,Ground
Wind,Wound,Wound
Speak,Spoke,Spoken
Break,Broke,Broken
Awake,Awoke,Awoken
Steal,Stole,Stolen
Dream,Dreamed,Dreamt
Prove,Proved,Proven
Mow,Mowed,Mowed
Tread,Trod,Trodden
Cut,Cut,Cut
Shut,Shut,Shut
Put,Put,Put
Hit,Hit,Hit
Read,Read,Read
Bet,Bet,Bet
Burst,Burst,Burst
Cost,Cost,Cost
Beat,Beat,Beat
Cast,Cast,Cast
Spread,Spread,Spread
Knit,Knit,Knit
Thrust,Thrust,Thrust
Slit,Slit,Slit
Wed,Wed,Wed
Hang,Hung,Hung
Cling,Clung,Clung
Sting,Stung,Stung
Sling,Slung,Slung
Wring,Wrung,Wrung
Swing,Swung,Swung
